Comment,Designator,Footprint,LCSC,Quantity
75R,"R61,R62,R66,R67,R71,R72,R73,R80",R_0402_1005Metric,C114757,8
475R,"R97,R98",R_0402_1005Metric,C137975,2
1uF,"C16,C17,C47",C_0603_1608Metric,C15849,3
0,R57,R_0402_1005Metric,C17168,1
4.7uF,"C2,C3,C5",C_0805_2012Metric,C1779,3
100k,"R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R59,R60,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92",R_0402_1005Metric,C25741,24
10K,"R63,R64,R65,R68,R69,R70,R74,R75,R76,R81",R_0402_1005Metric,C25744,10
20k,"R101,R99",R_0402_1005Metric,C25765,2
4K7,"R77,R78,R79,R82",R_0402_1005Metric,C25900,4
TL084HIDR,"U13,U14",SOIC-14_3.9x8.7mm_P1.27mm,C2878714,2
100nF,"C1,C10,C11,C12,C13,C18,C19,C20,C21,C22,C23,C24,C4,C6,C7,C8,C9",C_0402_1005Metric,C307331,17
TXB0106PWR,"U10,U4,U5,U6",SOP65P640X120-16N,C38253,4
20nF,C40,C_0402_1005Metric,C5448807,1
LM4871MX_NOPB,U12,SOIC127P599X175-8N,C7554,1
VREF,"VR1,VR2,VR3",TRIM_3362P-1-203LF,C81263,3
100k 0.1%,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R44,R5,R6,R7,R8,R9",R_0402_1005Metric,C852472,44
